case,location,date,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,race,gender,latitude,longitude,type,year,City,State
Xerox killings,Honolulu  Hawaii,11/2/1999,7,0,7,Workplace,40,Yes,Yes,Asian,M,21.320063,-157.876462,Spree,1999,Honolulu,HI
Wedgwood Baptist Church ,Fort Worth  Texas,9/15/1999,8,7,15,Religious,47,Yes,Yes,white,M,32.664511,-97.384246,Mass,1999,Fort Worth,TX
Atlanta day trading spree killings,Atlanta  Georgia,7/29/1999,9,13,22,Workplace,44,Yes,Yes,white,M,33.850116,-84.377839,Mass,1999,Atlanta,GA
Connecticut Lottery ,Newington  Connecticut,3/6/1998,5,1,6,Workplace,35,Yes,Yes,white,M,41.6856325,-72.72983827,Mass,1998,Newington,CT
Caltrans maintenance yard ,Orange  California,12/18/1997,5,2,7,Workplace,41,No,Yes,Latino,M,33.7877944,-117.8531119,Spree,1997,Orange,CA
Fort Lauderdale revenge ,Fort Lauderdale  Florida,2/9/1996,6,1,7,Workplace,41,Yes,Yes,black,M,26.119269,-80.104119,Spree,1996,Fort Lauderdale,FL
Walter Rossler Company massacre,Corpus Christi  Texas,4/3/1995,6,0,6,Workplace,28,No,Yes,unclear,M,27.828025,-97.548198,Mass,1995,Corpus Christi,TX
Air Force base ,Fairchild Air Force Base  Washington,6/20/1994,5,23,28,Military,20,Yes,Yes,white,M,47.61864486,-117.6483587,Mass,1994,Fairchild Air Force Base,WA
Long Island Rail Road massacre,Garden City  New York,12/7/1993,6,19,25,Other,35,Yes,Yes,black,M,40.7267682,-73.6342955,Spree,1993,Garden City,NY
Luigi's ,Fayetteville  North Carolina,8/6/1993,4,8,12,Other,22,No,Yes,white,M,35.0529931,-78.8787058,Mass,1993,Fayetteville,NC
Watkins Glen killings,Watkins Glen  New York,10/15/1992,5,0,5,Other,50,Yes,Yes,white,M,42.3810555,-76.8705777,Mass,1992,Watkins Glen,NY
Lindhurst High School ,Olivehurst  California,5/1/1992,4,10,14,School,20,No,Yes,white,M,39.07868761,-121.5475762,Mass,1992,Olivehurst,CA
Royal Oak postal s,Royal Oak  Michigan,11/14/1991,5,5,10,Workplace,31,Yes,Yes,white,M,42.4894801,-83.1446485,Mass,1991,Royal Oak,MI
University of Iowa ,Iowa City  Iowa,11/1/1991,6,1,7,School,28,Unclear,Yes,Asian,M,41.6606893,-91.5302214,Spree,1991,Iowa City,IA
Luby's massacre,Killeen  Texas,10/16/1991,24,20,44,Other,35,No,Yes,white,M,31.1171194,-97.7277959,Mass,1991,Killeen,TX
GMAC massacre,Jacksonville  Florida,6/18/1990,10,4,14,Other,42,No,Yes,black,M,30.3321838,-81.655651,Mass,1990,Jacksonville,FL
Standard Gravure ,Louisville  Kentucky,9/14/1989,9,12,21,Workplace,47,Yes,Yes,white,M,38.2542376,-85.759407,Mass,1989,Louisville,KY
Stockton schoolyard ,Stockton  California,1/17/1989,6,29,35,School,26,Yes,Yes,white,M,37.9577016,-121.2907796,Mass,1989,Stockton,CA
ESL ,Sunnyvale  California,2/16/1988,7,4,11,Workplace,39,Yes,Yes,white,M,37.3688301,-122.0363496,Mass,1988,Sunnyvale,CA
Shopping centers spree killings,Palm Bay  Florida,4/23/1987,6,14,20,Other,59,Yes,Yes,white,M,28.0331886,-80.6429695,Spree,1987,Palm Bay,FL
United States Postal Service ,Edmond  Oklahoma,8/20/1986,15,6,21,Workplace,44,Unclear ,Yes,white,M,35.6672015,-97.42937037,Mass,1986,Edmond,OK
San Ysidro McDonald's massacre,San Ysidro  California,7/18/1984,22,19,41,Other,41,Yes,Yes,white,M,32.5520013,-117.0430813,Mass,1984,San Ysidro,CA
Welding shop ,Miami  Florida,8/20/1982,8,3,11,Other,51,Yes,Yes,white,M,25.796491,-80.226683,Mass,1982,Miami,FL
Trolley Square ,Salt Lake City  Utah,2/12/2007,6,4,10,Other,18,Unclear,Unknown,white,M,40.7606467,-111.89109,Mass,2007,Salt Lake City,UT
Chuck E. Cheese's killings,Aurora  Colorado,12/14/1993,4,1,5,Workplace,19,Unclear,Unknown,black,M,39.675599,-104.844845,Mass,1993,Aurora,CO
Marysville-Pilchuck High School ,Marysville  Washington,10/24/2014,5,1,6,School,15,Unclear,No,Native American,M,48.050824,-122.176918,Mass,2014,Marysville,WA
Sandy Hook Elementary massacre,Newtown  Connecticut,12/14/2012,27,2,29,School,20,Yes,No,white,M,41.4123225,-73.31142358,Mass,2012,Newtown,CT
Coffee shop police killings,Parkland  Washington,11/29/2009,4,1,5,Other,37,Yes,No,black,M,47.15277,-122.467308,Mass,2009,Parkland,WA
Kirkwood City Council ,Kirkwood  Missouri,2/7/2008,6,2,8,Other,52,No,No,black,M,38.580093,-90.40691,Mass,2008,Kirkwood,MO
Westroads Mall ,Omaha  Nebraska,12/5/2007,9,4,13,Other,19,Yes,No,white,M,41.265719,-96.067495,Spree,2007,Omaha,NE
Red Lake massacre,Red Lake  Minnesota,3/21/2005,10,5,15,School,16,Yes,No,Native American,M,47.876346,-95.0169401,Mass,2005,Red Lake,MN
Columbine High School massacre,Littleton  Colorado,4/20/1999,13,24,37,School,17,Yes,No,white,M,39.604034,-105.074103,Mass,1999,Littleton,CO
Thurston High School ,Springfield  Oregon,5/21/1998,4,25,29,School,15,Yes,No,white,M,44.0462362,-123.0220289,Mass,1998,Springfield,OR
Westside Middle School killings,Jonesboro  Arkansas,3/24/1998,5,10,15,School,11,No,No,white,M,35.8209895,-90.6682606,Mass,1998,Jonesboro,AR
R.E. Phelon Company ,Aiken  South Carolina,9/15/1997,4,3,7,Workplace,43,No,No,black,M,33.5598586,-81.721952,Mass,1997,Aiken,SC
101 California Street s,San Francisco  California,7/1/1993,9,6,15,Other,55,No,No,white,M,37.792968,-122.397973,Mass,1993,San Francisco,CA
Dallas nightclub ,Dallas  Texas,6/29/1984,6,1,7,Other,39,Yes,No,white,M,32.925166,-96.838676,Mass,1984,Dallas,TX
San Bernardino mass ,San Bernardino  California,12/2/2015,14,21,35,"
Workplace",28,Unclear,"
Yes",Other,both,34.075961,-117.27789,Mass,2015,San Bernardino,CA
