,State,Offense_Year,Offense_Type,Offense_Count
378,AK,2007,stolen_property,21
379,AK,2007,suspicion,2
380,AK,2007,vagrancy,7
381,AK,2007,vandalism,954
382,AK,2007,weapons,402
383,AK,2007,data_year,2007
384,AK,2008,aggravated_assault,1780
385,AK,2008,all_other_offenses,15455
386,AK,2008,arson,46
387,AK,2008,burglary,460
388,AK,2008,curfew,1
389,AK,2008,disorderly,847
390,AK,2008,driving,5567
391,AK,2008,drug_abuse_gt,1725
392,AK,2008,drug_poss_m,945
393,AK,2008,drug_poss_opium,229
394,AK,2008,drug_poss_other,143
395,AK,2008,drug_poss_subtotal,1343
396,AK,2008,drug_poss_synthetic,26
397,AK,2008,drug_sales_m,132
398,AK,2008,drug_sales_opium,185
399,AK,2008,drug_sales_other,42
400,AK,2008,drug_sales_subtotal,382
401,AK,2008,drug_sales_synthetic,23
402,AK,2008,drunkness,108
403,AK,2008,embezzlement,106
404,AK,2008,forgery,87
405,AK,2008,fraud,279
406,AK,2008,g_all,0
407,AK,2008,g_b,0
408,AK,2008,g_n,0
409,AK,2008,g_t,0
410,AK,2008,ht_c_s_a,0
411,AK,2008,ht_i_s,0
412,AK,2008,larceny,3354
413,AK,2008,liquor,1718
414,AK,2008,manslaughter,2
415,AK,2008,mvt,269
416,AK,2008,murder,22
417,AK,2008,offense_family,323
418,AK,2008,prostitution,159
419,AK,2008,prostitution_a_p_p,0
420,AK,2008,prostitution_p,0
421,AK,2008,prostitution_p_p,0
422,AK,2008,rape,55
423,AK,2008,robbery,275
424,AK,2008,sex_offense,169
425,AK,2008,simple_assault,4105
426,AK,2008,stolen_property,38
427,AK,2008,suspicion,4
428,AK,2008,vagrancy,3
429,AK,2008,vandalism,887
430,AK,2008,weapons,350
431,AK,2008,data_year,2008
432,AK,2009,aggravated_assault,1933
433,AK,2009,all_other_offenses,15858
434,AK,2009,arson,43
435,AK,2009,burglary,392
436,AK,2009,curfew,16
437,AK,2009,disorderly,978
438,AK,2009,driving,5453
439,AK,2009,drug_abuse_gt,2060
440,AK,2009,drug_poss_m,1266
441,AK,2009,drug_poss_opium,241
442,AK,2009,drug_poss_other,81
443,AK,2009,drug_poss_subtotal,1637
444,AK,2009,drug_poss_synthetic,49
445,AK,2009,drug_sales_m,147
446,AK,2009,drug_sales_opium,182
447,AK,2009,drug_sales_other,63
448,AK,2009,drug_sales_subtotal,423
449,AK,2009,drug_sales_synthetic,31
450,AK,2009,drunkness,419
451,AK,2009,embezzlement,90
452,AK,2009,forgery,116
453,AK,2009,fraud,278
454,AK,2009,g_all,0
455,AK,2009,g_b,0
456,AK,2009,g_n,0
457,AK,2009,g_t,0
458,AK,2009,ht_c_s_a,0
459,AK,2009,ht_i_s,0
460,AK,2009,larceny,3256
461,AK,2009,liquor,2444
462,AK,2009,manslaughter,4
463,AK,2009,mvt,273
464,AK,2009,murder,23
465,AK,2009,offense_family,316
466,AK,2009,prostitution,217
467,AK,2009,prostitution_a_p_p,0
468,AK,2009,prostitution_p,0
469,AK,2009,prostitution_p_p,0
470,AK,2009,rape,77
471,AK,2009,robbery,283
472,AK,2009,sex_offense,199
473,AK,2009,simple_assault,4985
474,AK,2009,stolen_property,37
475,AK,2009,suspicion,3
476,AK,2009,vagrancy,0
477,AK,2009,vandalism,770
478,AK,2009,weapons,366
479,AK,2009,data_year,2009
480,AK,2010,aggravated_assault,1971
481,AK,2010,all_other_offenses,16037
482,AK,2010,arson,33
483,AK,2010,burglary,488
484,AK,2010,curfew,20
485,AK,2010,disorderly,1087
